feature,mi_score,rank
EState_VSA2_1,0.0032525112559314007,284
SlogP_VSA10_1,0.0031506054330621147,285
fr_hdrzine_2,0.003052812541801675,286
NumSaturatedRings_2,0.0028064077283453948,287
fr_para_hydroxylation_2,0.0017356539847079855,288
EState_VSA2_2,0.0012658949933139763,289
fr_hdrzone_2,0.001092088544190517,290
fr_nitro_arom_2,0.0004436806371033164,291
fr_sulfonamd_2,0.0003795155465668998,292
fr_aldehyde_2,0.0003719943096189837,293
fr_epoxide_1,0.00033960404586808046,294
fr_priamide_1,0.0,295
NumRadicalElectrons_2,0.0,296
fr_Al_OH_noTert_1,0.0,297
fr_Ar_N_1,0.0,298
fr_COO2_1,0.0,299
fr_NH1_1,0.0,300
fr_imide_1,0.0,301
fr_ketone_Topliss_1,0.0,302
EState_VSA6_1,0.0,303
fr_bicyclic_1,0.0,304
fr_aniline_1,0.0,305
fr_alkyl_halide_1,0.0,306
fr_Ndealkylation2_1,0.0,307
EState_VSA7_1,0.0,308
EState_VSA3_1,0.0,309
EState_VSA4_1,0.0,310
fr_lactone_2,0.0,311
SMR_VSA3_2,0.0,312
SlogP_VSA11_2,0.0,313
fr_Ndealkylation1_1,0.0,314
EState_VSA3_2,0.0,315
fr_thiophene_2,0.0,316
fr_quatN_2,0.0,317
fr_pyridine_2,0.0,318
fr_Ar_OH_2,0.0,319
fr_NH1_2,0.0,320
fr_amide_2,0.0,321
fr_amidine_2,0.0,322
fr_aniline_2,0.0,323
fr_furan_2,0.0,324
fr_NH2_1,0.0,325
